Date,Open,High,Low,Close,Adj Close,Volume
2017-11-06,308.644989,329.451996,294.541992,307.907990,307.907990,4235016896
2017-11-13,307.024994,371.290985,307.024994,354.385986,354.385986,6084391936
2017-11-20,354.093994,485.191986,350.692993,471.329987,471.329987,9316127936
2017-11-27,471.531006,522.307007,401.243011,465.852997,465.852997,10504046976
2017-12-04,466.053986,504.147003,414.411011,441.721008,441.721008,12094509888
2017-12-11,440.358002,753.120972,439.104004,719.974976,719.974976,22369179776
2017-12-18,721.731995,881.943970,543.762024,694.148010,694.148010,24643379968
2017-12-25,698.869995,789.252991,685.231018,756.732971,756.732971,17573120000
2018-01-01,755.757019,1153.170044,742.004028,1153.170044,1153.170044,36890379264
2018-01-08,1158.260010,1432.880005,1016.049988,1366.770020,1366.770020,48677970944
2018-01-15,1365.209961,1390.589966,780.921997,1049.579956,1049.579956,39107450112
2018-01-22,1055.349976,1257.770020,920.539978,1246.010010,1246.010010,27353920000
2018-01-29,1246.699951,1256.699951,757.979980,834.682007,834.682007,29796040448
2018-02-05,834.958008,917.400024,574.419006,814.659973,814.659973,26305170176
2018-02-12,817.507996,982.932983,817.507996,923.921021,923.921021,17505550464
2018-02-19,921.668030,965.265015,794.791016,844.809998,844.809998,15304739968
2018-02-26,845.278015,896.258972,840.280029,866.677979,866.677979,13222689920
2018-03-05,866.846008,869.919983,648.106995,723.338989,723.338989,13237279872
2018-03-12,724.406006,742.513977,460.088013,538.643982,538.643982,12142639872
2018-03-19,546.625977,589.606995,512.127014,524.286987,524.286987,11232729984
2018-03-26,524.286987,526.379028,363.804993,379.606995,379.606995,11200210048
2018-04-02,379.699005,418.967987,366.911011,400.507996,400.507996,7831139008
2018-04-09,400.856995,531.702026,390.609985,531.702026,531.702026,12297209856
2018-04-16,532.073975,640.767029,500.250000,621.859985,621.859985,15427349760
2018-04-23,621.198975,708.875000,600.211975,688.880981,688.880981,21004189952
2018-04-30,689.760986,835.057007,637.539978,792.310974,792.310974,22239290112
2018-05-07,793.338989,795.757996,644.065979,733.495972,733.495972,21184490240
2018-05-14,732.732971,742.169983,663.809021,715.369019,715.369019,16839129984
2018-05-21,717.192993,719.278015,557.205994,572.668030,572.668030,15616179712
2018-05-28,573.044983,624.513000,512.552002,618.328979,618.328979,14385560320
2018-06-04,619.437012,623.429016,511.889008,526.479004,526.479004,12776339968
2018-06-11,524.856995,538.955017,459.003998,500.447998,500.447998,12840910080
2018-06-18,499.382996,543.716980,426.468994,457.671997,457.671997,12666790016
2018-06-25,455.936005,470.343994,407.946991,453.917999,453.917999,12646410112
2018-07-02,453.824005,503.199005,447.110992,489.118988,489.118988,11018640000
2018-07-09,488.877991,490.851990,422.809998,449.850006,449.850006,10316429952
2018-07-16,450.424988,513.432983,443.692993,459.657013,459.657013,13251330048
2018-07-23,459.438995,483.696014,449.727997,466.665009,466.665009,12334920064
2018-07-30,466.826996,467.951996,399.910004,410.515991,410.515991,12005330000
2018-08-06,410.566986,414.540009,308.488007,319.570007,319.570007,11961110000
2018-08-13,320.209991,323.550995,254.649994,300.834015,300.834015,12527550000
2018-08-20,301.381012,304.372009,264.997986,275.196991,275.196991,9221910000
2018-08-27,275.350006,301.144012,273.649994,294.371002,294.371002,10187290000
2018-09-03,295.181000,295.591003,188.306000,196.923996,196.923996,12218500000
2018-09-10,197.850998,226.604004,170.257004,220.589005,220.589005,12682370000
2018-09-17,221.582001,251.195999,195.307999,244.330002,244.330002,13787440000
2018-09-24,244.843994,245.108002,206.490005,232.848007,232.848007,13647920000
2018-10-01,233.220001,234.145004,213.970993,226.119003,226.119003,10825890000
2018-10-08,226.509003,230.764999,188.707001,195.714996,195.714996,10252300000
2018-10-15,195.270004,222.117996,194.158997,205.141998,205.141998,10901660000
2018-10-22,205.173996,206.932007,201.550995,205.365997,205.365997,8156850000
2018-10-29,205.173996,211.272003,195.733994,207.485992,207.485992,10168130000
2018-11-05,207.100006,221.651993,206.572998,211.339996,211.339996,11601470000
2018-11-12,211.513000,212.623001,170.188995,177.067001,177.067001,13955430000
2018-11-19,177.179001,177.179001,101.769997,116.449997,116.449997,16623370000
2018-11-26,116.343002,126.047997,102.452003,116.388901,116.388901,15337492464
2018-12-03,116.378761,116.619064,83.469719,95.142059,95.142059,14107378338
2018-12-10,94.992172,96.257301,82.829887,85.262100,85.262100,11464947012
2018-12-17,85.382111,133.075302,85.382111,130.765259,130.765259,18450319823
2018-12-24,130.641663,157.668701,115.650101,139.859451,139.859451,21961215315
2018-12-31,140.031067,160.824890,132.519394,157.746201,157.746201,20317174185
2019-01-07,157.809494,158.450424,116.085968,116.897804,116.897804,18086850583
2019-01-14,116.979095,130.856735,116.967560,119.474831,119.474831,19191855390
2019-01-21,119.636459,119.715439,113.405289,113.405289,113.405289,17846974720
2019-01-28,113.285233,113.688232,103.336464,107.492668,107.492668,19416244611
2019-02-04,107.625824,124.853622,102.934563,124.806488,124.806488,19617823832
2019-02-11,124.871536,134.460098,119.600021,133.598877,133.598877,23253993775
2019-02-18,133.032547,165.549622,133.001938,135.852661,135.852661,33402513004
2019-02-25,135.499725,142.525574,131.328857,132.249420,132.249420,28668576022
2019-03-04,132.157883,140.857880,125.402702,136.758682,136.758682,31970455850
2019-03-11,136.849533,144.558441,130.944153,140.000549,140.000549,31314512819
2019-03-18,140.104858,142.267212,135.855423,136.986923,136.986923,31748923603
2019-03-25,137.081360,149.613235,133.490158,141.514099,141.514099,32890556026
2019-04-01,141.465485,178.322052,140.737564,174.531647,174.531647,55308734158
2019-04-08,174.449677,184.377853,161.029739,167.838516,167.838516,48696587657
2019-04-15,167.897476,176.705811,159.555740,170.046524,170.046524,42109293905
2019-04-22,170.017487,176.850784,152.085678,157.295074,157.295074,46112628593
2019-04-29,157.291061,170.645935,153.186523,163.450699,163.450699,44058849491
2019-05-06,163.337982,203.466644,159.988190,187.325317,187.325317,59856021616
2019-05-13,187.417923,275.394440,185.305908,261.292206,261.292206,94259616435
2019-05-20,261.267487,269.166534,233.793091,267.069641,267.069641,71388198150
2019-05-27,267.141876,287.201630,247.348602,270.225525,270.225525,75802917472
2019-06-03,270.088562,270.334106,229.257431,233.086700,233.086700,59494279379
2019-06-10,232.830139,278.143188,229.341766,269.223206,269.223206,59091597666
2019-06-17,269.090576,318.565674,263.144440,307.827789,307.827789,52247018104
2019-06-24,307.722137,361.398682,278.573242,290.695984,290.695984,81069795996
2019-07-01,290.268494,310.139313,272.602570,305.700562,305.700562,63758696006
2019-07-08,305.734772,318.223114,227.269211,227.578064,227.578064,64474442450
2019-07-15,227.965057,235.025650,193.990417,225.630768,225.630768,59743620424
2019-07-22,225.698654,226.862579,202.252899,211.186554,211.186554,44707643476
