Date,Open,High,Low,Close,Volume,Market Cap
Jan-02-2022,47722.9397,47869.1107,46702.7539,47313.6322,74535852088.88889,893627342141.7856
Dec-03-2021,56489.30065875455,57369.39984581016,52673.8928848244,53708.6772,114935573504,1054805699201.3259
Nov-03-2021,63167.43464969524,63445.54734337445,61652.60250796381,62941.48199104164,78078281728,1184712183020.6982
Oct-04-2021,48186.6468,49425.78169188632,47004.98982247337,49176.7613,60738746936.888885,906668798743.1597
Sep-04-2021,50001.53053773124,50525.7903,49515.9757,49974.09727500616,66721901411.55556,941241509428.4313
Aug-05-2021,39740.02633556848,41286.96,37462.49609672439,40849.95098301631,59042920661.333336,740145761053.042
Jul-06-2021,33691.165289937635,35046.03,33648.66117575969,34106.80638064917,61017993116.44444,640276009207.8153
Jun-06-2021,35512.37,36395.119909170506,35300.45,35781.01,54522810549.372696,673081231184.9684
May-07-2021,56387.69,58550.191536919,55406.838866197,57339.55,96543881308.77055,1061921862761.8705
Apr-07-2021,57979.296824399,58627.112892427,55558.496987732,56073.471560786,109029801399.0376,1064137361929.3365
Mar-08-2021,50934.444601724,52326.862441311,49375.174275611,52326.862441311,101647849696.18727,946662347610.6323
Feb-06-2021,38300.044187397,40858.551618965,38288.9866536,39191.507551212,106251967992.13086,742154277235.7987
Jan-07-2021,36814.681967048,40164.159004366,36345.635772118,39493.128514839,141292953594.38013,706528659351.8286
Dec-08-2020,19169.816020354,19268.377649289,18279.488207537,18325.054202865,36072867923.53677,351716110113.325
Nov-08-2020,14815.051319972,15613.433272935,14748.256936569,15499.081293284,44191246290.48436,281457720322.22363
Oct-09-2020,10920.198990255,11101.815678242,10841.66081493,11066.190869882,23417400425.568005,203184007851.05823
Sep-09-2020,10116.665555577,10335.324719057,9983.509539052,10214.15437465,37822798641.018166,188204222607.76273
Aug-10-2020,11666.673083738,12031.870652052,11666.673083738,11867.866490683,36150631837.6107,219302265535.0324
Jul-11-2020,9276.580057192,9283.619995783,9195.588708669,9231.320100491,13061147820.357235,170216321880.00403
Jun-11-2020,9864.195678036,9924.656934423,9257.352855233,9314.378159997,28078869432.744137,177655075928.21127
May-12-2020,8583.604045247,8940.956452104,8566.733028151,8792.063767945,44269698682.529755,161057224632.45917
Apr-12-2020,6873.738524108,7151.799963148,6797.613534862,6977.230635882,25365748775.631874,127014900702.17606
Mar-13-2020,4799.696383318,5891.890068654,4003.591031768,5518.647280507,60723203714.91818,95005002272.69986
