Date,Open,High,Low,Close,Volume,Market Cap
Jan-28-2022,2424.0306302128383,2551.123,2372.182345127957,2549.8198,24445587932.444443,291652895022.7258
Dec-29-2021,3808.7489,3836.195188878529,3634.019302788115,3639.101875632903,20503962392.88889,450262973409.69366
Nov-29-2021,4298.531080015639,4460.0291,4297.3593,4452.2641317013695,41952501048.888885,517299622320.9707
Oct-30-2021,4414.742546465173,4418.937279592537,4269.350078905884,4315.823838736527,24115032526.22222,511919920928.49774
Sep-30-2021,2855.1193,3045.1343,2851.6814,3009.435707489463,24796819448.88889,352341441492.1697
Aug-31-2021,3229.163,3454.714985315106,3201.6717,3441.6881,40154035000.888885,392207422680.7629
Aug-01-2021,2537.632790580004,2694.04,2525.051079474015,2572.8347144621785,35564211989.333336,303852637948.9434
Jul-02-2021,2115.94,2154.353693605902,2026.486929624968,2141.6483445222166,39089640334.22222,242357369515.18668
Jun-02-2021,2637.83,2798.562802743759,2569.17,2717.69,45146552334.22222,313209552298.97205
May-03-2021,2954.75,3451.592950491,2954.75,3440.551612077,58401789517.57545,366479272303.10126
Apr-03-2021,2136.571387853,2137.194335666,2022.747977564,2022.747977564,47145055916.329414,241303585817.38757
Mar-04-2021,1575.14705532,1624.15096266,1516.005583644,1540.806484542,46922872406.608185,179527360797.28354
Feb-02-2021,1371.951572705,1546.106454734,1366.850386559,1516.837913238,56250945162.93805,164906432245.89307
Jan-03-2021,771.219259193,1008.35935322,771.135299817,982.082462806,42437519218.11326,97932978277.89398
Dec-04-2020,616.551824352,618.836052545,569.723830812,571.978333171,18578754854.95589,67897663570.45096
Nov-04-2020,387.962597535,407.623557092,378.301501193,401.774060651,11165254705.09666,44091767235.33133
Oct-05-2020,352.552667944,354.989240882,349.527811804,353.854553219,8863022283.018194,39778145130.65974
Sep-05-2020,384.58490827,390.622362551,316.579278335,331.381124974,29781436708.83354,40649192206.85466
Aug-06-2020,400.744039701,402.417277239,392.595556583,394.986153398,18247300097.68184,44449353714.314705
Jul-07-2020,241.284665233,242.864476202,235.127003231,238.810832281,6915350158.74218,26601832965.52176
Jun-07-2020,241.955581697,244.733351624,235.814783102,244.058421395,6788697026.450641,26769799203.08623
May-08-2020,211.842763855,214.939794659,207.890631879,211.708988088,17108159080.405815,23495972723.490257
Apr-08-2020,164.857143913,173.169673164,164.170923963,172.788017549,14116847315.037016,18737803985.919106
Mar-09-2020,199.661593498,208.03754661,191.870951582,200.908224197,18677623019.654556,21842094396.77833
Feb-08-2020,224.640472186,226.84606968,214.530925974,223.575235985,14418900263.96583,24258530893.07238
Jan-09-2020,140.593959617,141.117606261,135.956015513,138.028595129,8407091301.869274,15073087981.738968
Dec-10-2019,147.387961021,147.607797922,144.313053942,145.703170774,5003078649.898266,15932370420.40751
Nov-10-2019,184.944653032,190.289599135,183.664840396,189.049407401,7199270220.08484,20316911210.526108
Oct-11-2019,191.245027089,195.199359729,180.263848513,180.770547237,8622637488.633896,20066412952.67124
Sep-11-2019,179.558696177,181.141843293,175.59689767,177.980211414,6265749737.006505,19198604176.184345
Aug-12-2019,217.019418922,217.019418922,211.245925985,211.640176421,5932637394.644413,22850024937.85246
Jul-13-2019,275.142122751,275.453378754,264.019817813,269.908701286,7250712122.819975,28898056926.27216
Jun-13-2019,262.402261707,262.914379744,256.817123243,256.986374447,6511712419.193263,27770958608.881348
May-14-2019,196.241021142,219.182154143,195.573200162,218.766641998,10296656313.3205,21967976431.98793
Apr-14-2019,165.479958387,169.620756155,163.869787636,169.069363082,3662600531.8076153,17484818380.59664
Mar-15-2019,132.851043315,137.794749612,132.851043315,136.624522504,3679184082.1446323,14223931730.26068
Feb-13-2019,121.484333687,124.629247738,120.530282206,121.318915972,2025110848.5540957,12774386040.832483
Jan-14-2019,117.00382997,131.110116857,117.00382997,129.547725671,1955504104.283736,12764656754.839998
Dec-15-2018,84.262765117,85.388463374,82.40942563,84.403622982,1019927902.056136,8727656065.142742
Nov-15-2018,183.279001661,185.232244659,170.636750463,182.015270738,2659668412.6429296,18472005403.07362
Oct-16-2018,208.964491728,211.674471729,206.710935346,208.320635734,1932594552.3471038,21406053386.456768
Sep-16-2018,222.553165132,222.866482194,210.483561384,220.264163483,1594379065.725499,22252682002.9573
Aug-17-2018,287.883600429,316.214215204,287.107850542,316.214215204,1806672402.3154838,30485204712.6957
Jul-18-2018,500.680986267,507.520282195,473.875709061,477.957742894,2569124943.5915747,49804408736.29887
Jun-18-2018,497.944390832,520.113539064,492.795132428,518.435378464,993590452.8010995,50194787040.93049
May-19-2018,693.90478822,714.794143565,684.851583462,695.881465915,1710872363.0182045,69461792255.22943
Apr-19-2018,524.313101849,570.044523459,522.159257467,570.044523459,1764011413.7313466,53663931540.68593
Mar-20-2018,557.250257173,567.67379519,520.337860202,556.378788366,1834575529.4495487,53618455014.80322
Feb-18-2018,978.396766388,986.61909437,921.377648416,927.811517372,2351145273.4451795,92454117478.32318
Jan-19-2018,1027.729768534,1115.504599975,1002.070123227,1044.495861661,4555829350.570866,101382170706.21205
Dec-20-2017,819.810487128,851.225545918,742.130911973,818.409385648,3379112781.1303997,78616230790.01866
Nov-20-2017,353.247623928,370.592106765,352.351041183,366.092975829,734244620.3290337,34546341841.77731
Oct-21-2017,303.460265905,303.827059805,293.123467878,299.010706715,356929535.95482385,28479437621.015602
Sep-21-2017,283.742,286.61,255.016,258.705,446610751.74825174,26094323328.86731
Aug-22-2017,321.591,327.361,297.913,315.476,1951347491.2891986,29358139990.24062
Jul-23-2017,229.476,231.68,217.722,225.545,656075732.6388888,21110253961.98964
Jun-23-2017,336.371,348.006,334.99,341.841,764128354.1666666,31700429234.34007
May-24-2017,181.952,228.374,181.952,189.826,595174927.0833334,18326681201.906048
Apr-24-2017,48.4893,50.1814,48.4893,50.1003,49399316.37630662,4570554364.065508
Mar-25-2017,53.1075,53.5759,48.3117,51.1639,307740659.7222222,4607811788.50126
Feb-23-2017,12.5997,13.2078,12.5638,13.1367,11279432.013888888,1138242823.69482
Jan-24-2017,10.8208,10.8208,10.5713,10.597,7791003.554006969,931908323.9918824
Dec-25-2016,7.26577,7.34166,7.13886,7.18144,7866930.347222222,633432491.2671666
Nov-25-2016,9.23167,9.75252,9.21123,9.40819,13995566.458333334,812128422.4693555
Oct-26-2016,11.414,11.6625,11.3841,11.5739,14691727.87456446,982830251.290605
Sep-26-2016,13.1009,13.1696,12.7402,12.8182,6501998.020833333,1094277204.6767998
Aug-27-2016,11.2954,11.2954,11.1395,11.1492,3603665.659722222,935491528.6600087
Jul-28-2016,12.9728,12.9882,12.4927,12.8619,39144895.48611111,1050280557.5933347
Jun-28-2016,13.8839,13.9815,11.718,12.2025,20069829.513888888,1073465898.1490637
May-29-2016,11.8929,12.6908,11.7768,12.3872,35697366.55052265,998288462.0915077
Apr-29-2016,7.17253,7.73096,7.17189,7.45872,9356922.430555556,597159006.1977271
Mar-30-2016,11.6564,12.1785,11.4692,11.9319,18629402.083333332,927952548.5671048
Feb-29-2016,6.46835,6.61451,6.05429,6.32308,8800336.25874126,495105401.0687589
Jan-30-2016,2.49496,2.61181,2.39892,2.43965,5183077.326388889,194486614.6468705
Dec-31-2015,0.911958,0.975414,0.910277,0.933432,784403.9895833334,71859744.33664328
Dec-01-2015,0.873119,0.886736,0.853937,0.876285,690526.1909722222,65811011.91521735
